product_id,seller_id,category,brand,price,seller_rating,seller_reviews,product_images,description_length,shipping_time_days,spelling_errors,domain_age_days,contact_info_complete,return_policy_clear,payment_methods_count,listing_date,seller_country,shipping_origin,views,purchases,wishlist_adds,certification_badges,warranty_months,bulk_orders,unusual_payment_patterns,ip_location_mismatch,is_counterfeit
dcb12716,seller_5426,Electronics,DigitalPro,218.54,4.9,5291,7,220,7,1,831,True,True,5,2024-07-28,CN,JP,3454,99,23,2,21,True,False,True,False
d1f8b777,seller_4385,Luxury Goods,TechCrop,20.72,3.2,29,2,179,41,1,161,False,False,2,2025-05-26,JP,CA,4127,252,88,0,9,False,False,False,True
9989f13a,seller_2528,Fashion,FashionForward,18.87,3.9,14,2,100,25,3,244,False,True,2,2025-03-29,FR,CN,3212,306,6,4,8,True,True,False,True
4e008120,seller_8099,Electronics,CircuitMaster,79.27,4.9,8533,4,976,10,0,3310,True,False,5,2023-10-09,CA,CN,1488,7,46,2,13,False,False,False,False
933b65ba,seller_7873,Luxury Goods,PremiumCraft,225.98,3.8,7655,4,589,6,1,1865,True,True,5,2023-07-27,GB,DE,171,9,5,3,13,False,False,False,False
52a410fa,seller_7863,Pharmaceuticals,BioMed Solutions,377.27,4.0,7729,9,451,9,1,2708,True,True,3,2025-04-13,DE,CN,347,23,12,0,14,False,False,False,False
59e1a27b,seller_6618,Pharmaceuticals,BeautyLu×,41.4,1.0,8,2,178,25,4,63,False,False,1,2023-08-17,JP,GB,401,34,2,0,4,False,False,False,True
b8fa970d,seller_3454,Electronics,NaturalGl0w,186.0,3.0,27,1,121,25,2,33,False,True,2,2025-02-21,KR,FR,3655,215,36,2,11,False,False,False,True
3c4f5456,seller_1502,Fashion,TrendSetter,336.9,4.8,5156,5,812,3,0,1393,True,True,4,2025-01-06,JP,DE,4503,358,26,0,14,False,False,False,False
f4068089,seller_7019,Fashion,ClassicWear,242.39,3.5,1584,5,774,7,0,928,True,True,3,2025-01-02,CN,IN,1767,150,14,2,3,False,False,False,False
96c8f664,seller_3693,Pharmaceuticals,BioMed Solutions,189.14,2.8,85,2,115,23,1,62,False,False,1,2023-11-23,US,CN,4901,27,43,3,10,False,False,False,True
c579133d,seller_7776,Electronics,DigitalPro,195.96,3.7,5692,9,389,1,0,1765,True,True,5,2024-01-25,DE,JP,2685,232,2,2,8,False,False,True,False
a1eb801e,seller_7585,Automotive Parts,CarTech,268.17,4.5,763,9,573,8,0,1501,True,True,4,2025-07-03,JP,JP,4669,267,38,1,2,False,False,False,False
efbff36f,seller_1854,Cosmetics,GlamourC0,67.17,1.9,80,1,162,15,2,220,True,True,2,2024-07-28,KR,CN,3484,125,1,4,11,True,False,True,True
